Favorite_Color,Favorite_Music_Genre,Favorite_Beverage,Favorite_Soft_Drink,Gender
Cool,Electronic,Whiskey,Coca Cola/Pepsi,M
Neutral,Rock,Doesn't drink,Coca Cola/Pepsi,M
Cool,Hip hop,Doesn't drink,Other,M
Warm,Folk/Traditional,Other,Fanta,M
Cool,Electronic,Other,Fanta,M
Cool,Electronic,Doesn't drink,Fanta,M
Warm,Rock,Beer,Fanta,M
Cool,Rock,Doesn't drink,Coca Cola/Pepsi,M
Cool,Rock,Wine,7UP/Sprite,M
Warm,Jazz/Blues,Vodka,Coca Cola/Pepsi,M
Cool,R&B and soul,Doesn't drink,Coca Cola/Pepsi,M
Cool,R&B and soul,Whiskey,7UP/Sprite,M
Warm,Electronic,Vodka,Fanta,M
Cool,Pop,Other,Fanta,M
Warm,Electronic,Other,Coca Cola/Pepsi,M
Cool,Pop,Whiskey,Other,M
Warm,Rock,Vodka,7UP/Sprite,M
Cool,Hip hop,Wine,Coca Cola/Pepsi,M
Cool,Rock,Vodka,Coca Cola/Pepsi,M
Neutral,Hip hop,Doesn't drink,Fanta,M
Neutral,Hip hop,Beer,7UP/Sprite,M
Warm,Hip hop,Beer,Coca Cola/Pepsi,M
Warm,R&B and soul,Wine,Other,M
Cool,Rock,Doesn't drink,Other,M
Cool,Electronic,Beer,Coca Cola/Pepsi,M
