Favorite_Color,Favorite_Music_Genre,Favorite_Beverage,Favorite_Soft_Drink,Gender,Class
Cool,Rock,Wine,Coca Cola/Pepsi,M,negative
Warm,R&B and soul,Doesn't drink,Coca Cola/Pepsi,M,negative
Neutral,Pop,Doesn't drink,7UP/Sprite,M,positive
Cool,Hip hop,Beer,Coca Cola/Pepsi,M,negative
Cool,Folk/Traditional,Beer,Other,M,negative
Cool,Pop,Whiskey,Fanta,M,positive
Neutral,Rock,Beer,Coca Cola/Pepsi,F,negative
Neutral,Pop,Wine,Coca Cola/Pepsi,F,positive
Warm,Rock,Other,7UP/Sprite,F,negative
Warm,Pop,Wine,7UP/Sprite,F,positive
Warm,Pop,Other,7UP/Sprite,F,positive
Warm,Jazz/Blues,Doesn't drink,Fanta,F,negative
