Favorite_Color,Favorite_Music_Genre,Favorite_Beverage,Favorite_Soft_Drink,Gender
Cool,Electronic,Doesn't drink,Fanta,F
Warm,Folk/Traditional,Whiskey,Fanta,F
Cool,Pop,Beer,Fanta,F
Warm,R&B and soul,Whiskey,Coca Cola/Pepsi,F
Cool,Folk/Traditional,Whiskey,7UP/Sprite,F
Warm,Pop,Other,Coca Cola/Pepsi,F
Warm,Jazz/Blues,Whiskey,Fanta,F
Cool,Pop,Doesn't drink,7UP/Sprite,F
Cool,Pop,Other,7UP/Sprite,F
Cool,Pop,Doesn't drink,Other,F
Cool,Rock,Other,Coca Cola/Pepsi,F
Cool,Rock,Beer,Coca Cola/Pepsi,F
Cool,Pop,Beer,Other,F
Cool,Rock,Vodka,Coca Cola/Pepsi,F
Warm,Rock,Wine,Coca Cola/Pepsi,F
Cool,Pop,Doesn't drink,Coca Cola/Pepsi,F
Cool,Pop,Beer,Coca Cola/Pepsi,F
Warm,Electronic,Wine,Coca Cola/Pepsi,F
Warm,Pop,Whiskey,Fanta,F
Warm,Rock,Other,Coca Cola/Pepsi,F
Neutral,Hip hop,Vodka,Coca Cola/Pepsi,F
Cool,Pop,Wine,7UP/Sprite,F
Cool,Rock,Vodka,7UP/Sprite,F
Warm,Jazz/Blues,Wine,Coca Cola/Pepsi,F
Cool,R&B and soul,Beer,Coca Cola/Pepsi,F
